Time,integrated_flux_mod,integrated_flux_s9_mod,integrated_flux_s10_mod,integrated_flux_s11_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-06-30 18:59:14.894,,,,904739.2516488546,1275779.1653691276,198734.88889305995,-100705.6214649388
2025-06-30 18:59:19.895,,,,,1275779.1551866545,198736.305256099,-100705.541717068
2025-06-30 18:59:24.895,,1180268.1826825978,,,1275779.1450040718,198737.72164613492,-100705.46196702396
2025-06-30 18:59:29.895,,,1741814.8342618942,841309.759751407,1275779.1348223952,198739.13792124152,-100705.38222279662
2025-06-30 18:59:34.895,2842479.5405488163,902720.9006151384,18920535.083096303,3683511.9099073582,1275779.1246400257,198740.5543080751,-100705.30247164692
2025-06-30 18:59:39.895,18747751.785120834,13631151.665525308,112153525.39917977,19679783.519448485,1275779.1144580697,198741.9706366685,-100705.22272310598
2025-06-30 18:59:44.895,111661956.01163931,27411033.686707597,755461594.4770477,61699713.14613122,1275779.1042763072,198743.38696361482,-100705.1429739839
2025-06-30 18:59:49.895,385137823.86598015,183920129.68424922,2285301913.3367043,387889432.16651475,1275779.0940943444,198744.80331728575,-100705.06322272454
2025-06-30 18:59:54.895,260354570.98708466,102084266.51866879,1458731421.4329743,311958001.5111914,1275779.0839127747,198746.21964101438,-100704.98347253748
2025-06-30 18:59:59.895,32651376.301711407,9261434.468985308,195811551.56082928,42001711.90260166,1275779.0737312185,198747.63596313912,-100704.90372174617
2025-06-30 19:00:04.895,10663952.902256615,2581678.3263451476,58726066.27375729,14811971.2071993,1275779.0635498723,198749.0522836373,-100704.82397041947
2025-06-30 19:00:09.895,4052886.244213164,1619392.2121080074,27239508.615447912,2934960.9260750646,1275779.0533681132,198750.46865918272,-100704.74421532248
2025-06-30 19:00:14.895,2168292.1567983744,1929979.6924704774,13018138.381809272,2886487.367199604,1275779.0431868532,198751.8849764796,-100704.66446280346
2025-06-30 19:00:19.895,5965728.343383754,1856364.8632385759,46507546.30774792,310224.93066909147,1275779.033005708,198753.30129217973,-100704.58470982761
2025-06-30 19:00:24.895,11029412.748536615,4865729.60732561,82000536.72402616,2893793.5558472704,1275779.022824464,198754.71763459253,-100704.50495462952
2025-06-30 19:00:29.895,10146347.681196244,,80410778.52489685,3463973.9168149126,1275779.0126436823,198756.13391873805,-100704.42520206375
2025-06-30 19:00:34.895,8642974.267232789,,68840821.54439963,229938.2051183776,1275779.002462463,198757.55028626526,-100704.34544416604
2025-06-30 19:00:39.895,6437786.997313364,,51282601.380575575,,1275778.9922814728,198758.9666238492,-100704.26568726258
2025-06-30 19:00:44.895,1853214.7248976077,,15550221.401685184,1068897.156069337,1275778.9821010423,198760.38290315823,-100704.18593306618
2025-06-30 19:00:49.895,2048184.0689979093,948643.5515269265,19725501.898215827,,1275778.9719202486,198761.79923752754,-100704.10617509112
2025-06-30 19:00:54.895,673800.093594974,,9229078.634305237,1227691.9443318995,1275778.9617398123,198763.21554194068,-100704.02641811006
2025-06-30 19:00:59.895,,,3087733.341256012,,1275778.951559422,198764.6318447718,-100703.94666060951
2025-06-30 19:01:04.895,,,3046077.8339648736,,1275778.9413787029,198766.04820265027,-100703.86689932185
2025-06-30 19:01:09.895,,,1479131.2198305705,,1275778.9311985392,198767.46450225072,-100703.7871406746
2025-06-30 19:01:14.895,,,4042367.322205033,,1275778.921018382,198768.88080024498,-100703.70738143648
2025-06-30 19:01:19.896,,,2921476.4674331904,,1275778.9108382254,198770.29712494387,-100703.62762012385
2025-06-30 19:01:24.896,,,1431673.4776159718,,1275778.90065825,198771.71341973328,-100703.54785977496
2025-06-30 19:01:29.896,,,1400740.8932100332,,1275778.8904785137,198773.12971288778,-100703.46809889603
2025-06-30 19:01:34.896,,,1369430.3394698724,,1275778.8802987793,198774.5460044592,-100703.3883374465
2025-06-30 19:01:39.896,67299.71763458056,,1266329.6054606026,,1275778.870118773,198775.96235101912,-100703.30857226579
2025-06-30 19:01:44.896,,1434.1041348235176,,,1275778.8599392488,198777.37863935143,-100703.22880970355
2025-06-30 19:01:49.896,,,4248761.350750893,,1275778.8497598276,198778.7949260849,-100703.14904655877
2025-06-30 19:01:54.896,,,1355201.7097085905,653701.4248840922,1275778.8395802344,198780.2112395353,-100703.06928128906
2025-06-30 19:01:59.896,,2225948.1763768536,3003042.6448269268,,1275778.8294012463,198781.627494711,-100702.98951861693
2025-06-30 19:02:04.896,,,1380062.8742736755,,1275778.8192218842,198783.04380494522,-100702.90975219366
2025-06-30 19:02:09.896,,483259.87502265617,3888014.9575268487,,1275778.8090424305,198784.46014189892,-100702.82998361421
2025-06-30 19:02:14.896,,1291619.3131563421,3819997.1082297596,,1275778.798863704,198785.87639224078,-100702.7502192898
2025-06-30 19:02:19.896,168173.69489975506,1963356.3711383892,2619305.246057689,,1275778.7886846755,198787.29269764162,-100702.67045120354
2025-06-30 19:02:24.896,,,1994449.3987568114,,1275778.7785058783,198788.70897310975,-100702.5906841046
2025-06-30 19:02:29.896,135357.87265388283,1242757.1055460062,5687568.817035615,790592.9591154503,1275778.7683270238,198790.1252752807,-100702.51091491443
2025-06-30 19:02:34.896,963465.2870395902,,9911202.282070719,,1275778.7581484572,198791.54154752137,-100702.43114673567
2025-06-30 19:02:39.896,,,3960705.898289319,,1275778.7479697198,198792.95784650915,-100702.35137636488
2025-06-30 19:02:44.896,,,5894346.947103568,,1275778.737791194,198794.37414381938,-100702.27160549135
2025-06-30 19:02:49.896,243562.45850226854,,5169992.526228673,,1275778.7276131052,198795.7903829479,-100702.19183721981
2025-06-30 19:02:54.896,193374.93366454297,,5100351.753870015,1103074.7589859918,1275778.7174346887,198797.20667704608,-100702.11206517252
2025-06-30 19:02:59.897,,,1829188.0816714915,854791.9865661045,1275778.707256383,198798.62296961175,-100702.0322925906
2025-06-30 19:03:04.896,,1204146.8788849572,,,1275778.6970785712,198800.03920384467,-100701.95252264425
2025-06-30 19:03:09.897,,,1837779.2118439425,,1275778.6869002823,198801.45552148,-100701.87274734897
2025-06-30 19:03:14.897,,,1749454.8693644553,,1275778.6767224637,198802.8717808536,-100701.79297465889
2025-06-30 19:03:19.897,,,,,1275778.6665447613,198804.2880386115,-100701.71320142498
2025-06-30 19:03:24.897,,2396065.854412486,,,1275778.656366962,198805.70432308997,-100701.63342604914
2025-06-30 19:03:29.897,533638.8358808007,,5320202.4319701865,,1275778.6461894205,198807.12057763158,-100701.55365167226
2025-06-30 19:03:34.897,,120.1153107009622,,,1275778.636011977,198808.53683055632,-100701.47387679288
2025-06-30 19:03:39.897,211587.1231611122,,4201098.757113251,700507.5480652327,1275778.6258345954,198809.9530818966,-100701.39410127985
2025-06-30 19:03:44.897,2677139.299043073,1144288.1983526475,18513336.218138583,4545560.909663678,1275778.61565705,198811.3693882599,-100701.31432205765
2025-06-30 19:03:49.897,19878443.4181581,,121624981.97641294,16019456.02035653,1275778.6054798483,198812.78563636556,-100701.23454542697
2025-06-30 19:03:54.897,114297696.8490929,24290246.676862076,743306276.8624145,78405678.39263192,1275778.595302814,198814.20188286676,-100701.15476829035
2025-06-30 19:03:59.897,391398904.8098629,197803557.23616913,2188608418.053094,430638032.7564927,1275778.5851256398,198815.6181560877,-100701.07498896029
2025-06-30 19:04:04.897,213735809.1197857,78536073.78186853,1195820209.3890083,257592708.51334396,1275778.574948982,198817.0343710393,-100700.99521227251
2025-06-30 19:04:09.897,33445507.484945547,10029285.213229477,203427248.82983062,30348371.82267042,1275778.5647720436,198818.4506410097,-100700.91543184163
2025-06-30 19:04:14.897,10088545.304624826,3783591.4652428203,59079741.15816776,10216102.473680379,1275778.5545949854,198819.8669377081,-100700.83564924973
2025-06-30 19:04:19.897,4729773.290684336,,39051554.34538473,647142.1180566363,1275778.5444186262,198821.2831475928,-100700.75587087194
2025-06-30 19:04:24.897,3185407.645596243,,21901444.822207805,4691273.284172741,1275778.5342418593,198822.69941296044,-100700.67608872271
2025-06-30 19:04:29.897,3529567.568923205,4826409.404602972,26229709.079434652,1887777.8266382138,1275778.5240655348,198824.11564828127,-100700.59630761464
2025-06-30 19:04:34.897,10930377.240025943,6570012.30308992,79323303.53245553,4538011.9454862885,1275778.5138892499,198825.53188174972,-100700.51652597857
2025-06-30 19:04:39.897,11167443.26502069,80630.9544043908,94569321.6065001,,1275778.5037128571,198826.9481415922,-100700.43674215727
2025-06-30 19:04:44.897,7340396.924632425,482671.98560092674,62572227.21058243,2306332.1013420583,1275778.4935364916,198828.3643995441,-100700.35695776885
2025-06-30 19:04:49.897,4568573.681800381,,38503627.752208926,,1275778.4833605962,198829.7806268833,-100700.27717445535
2025-06-30 19:04:54.897,1923570.9828516059,1859434.6314509502,18474157.50871711,923467.9675356951,1275778.473184619,198831.1968536007,-100700.19739052461
2025-06-30 19:04:59.898,1258499.662171715,,14337374.991626598,,1275778.4630086147,198832.61310735258,-100700.11760448368
2025-06-30 19:05:04.898,,,3017610.0734847677,,1275778.4528328625,198834.02933141685,-100700.0378194644
2025-06-30 19:05:09.898,,,3078878.334153861,,1275778.442657306,198835.44555390588,-100699.95803388447
2025-06-30 19:05:14.898,,,,,1275778.4324815925,198836.8618030538,-100699.87824613141
2025-06-30 19:05:19.898,,,4547946.471976117,,1275778.4223064147,198838.27799355937,-100699.79846106336
2025-06-30 19:05:24.898,,,1504427.438120086,,1275778.4121306017,198839.69426774836,-100699.71867057699
2025-06-30 19:05:29.898,,,1477043.0075408043,,1275778.401955166,198841.11051194972,-100699.63888114918
2025-06-30 19:05:34.898,,,1409258.6787392488,678084.660611477,1275778.391779995,198842.52672625566,-100699.55909273453
2025-06-30 19:05:39.898,138996.632613866,,5148565.353940798,1576310.8392601188,1275778.3816049416,198843.94293897224,-100699.47930378316
2025-06-30 19:05:44.898,200159.14797246596,,5763752.111472342,,1275778.3714300115,198845.35915006077,-100699.3995142678
2025-06-30 19:05:49.898,180521.14789371483,,4249749.806118966,537588.3576001639,1275778.361254771,198846.7754161771,-100699.31972101098
2025-06-30 19:05:54.898,,,1325339.3820731945,1369770.4037126515,1275778.3510799995,198848.19162403853,-100699.23993035255
2025-06-30 19:05:59.898,,,,,1275778.340905343,198849.6078303148,-100699.1601391643
2025-06-30 19:06:04.898,,,,,1275778.3307305865,198851.0240632788,-100699.08034583367
2025-06-30 19:06:09.898,,,1372380.414114028,,1275778.320556282,198852.44023799794,-100699.00055506901
2025-06-30 19:06:14.898,,,,,1275778.3103817173,198853.85646774858,-100698.92076059984
2025-06-30 19:06:19.898,606960.6274401207,,8215523.929731068,,1275778.3002070372,198855.27272423843,-100698.84096397017
2025-06-30 19:06:24.898,,,,,1275778.2900330774,198856.6888941116,-100698.76117158163
2025-06-30 19:06:29.898,,1897.2414959666419,,,1275778.2798587375,198858.10511905,-100698.68137540278
2025-06-30 19:06:34.898,479259.42775646586,,7410649.061861437,981884.8225454062,1275778.269684755,198859.52131403936,-100698.60158028401
2025-06-30 19:06:39.898,295601.13640560245,,1956028.8468492639,,1275778.2595108803,198860.9375074218,-100698.52178456896
2025-06-30 19:06:44.898,906373.397951652,,9481940.458138011,857901.4356012157,1275778.2493368718,198862.35372752394,-100698.44198672718
2025-06-30 19:06:49.898,341693.03645619017,,5965370.7337635495,,1275778.2391631412,198863.76991768176,-100698.36218990327
2025-06-30 19:06:54.898,,,,,1275778.228989358,198865.18613452977,-100698.28239096061
2025-06-30 19:06:59.899,90939.4945466948,,3871644.8322393275,,1275778.2188156175,198866.6023498411,-100698.20259141352
2025-06-30 19:07:04.899,,1257168.1195776558,,,1275778.2086421957,198868.01853517746,-100698.12279290793
2025-06-30 19:07:09.899,,,,,1275778.1984688563,198869.43471889975,-100698.04299386073
2025-06-30 19:07:14.899,,,,,1275778.1882956205,198870.85090100844,-100697.9631942244
2025-06-30 19:07:19.899,228218.98471405648,,5605471.885472102,,1275778.1781220888,198872.2671381344,-100697.88339087181
2025-06-30 19:07:24.899,757794.2924035295,,9439389.317536311,,1275778.1679490167,198873.68331704556,-100697.80359009205
2025-06-30 19:07:29.899,,,5577444.422775599,,1275778.1577761178,198875.0994943135,-100697.72378885205
2025-06-30 19:07:34.899,,,3627697.853691722,,1275778.1476030499,198876.5156983294,-100697.64398535411
2025-06-30 19:07:39.899,,583.2272861022041,,875786.2086124447,1275778.1374304832,198877.93184406203,-100697.56418451219
2025-06-30 19:07:44.899,,,3503743.333607717,1683023.9169834715,1275778.1272576428,198879.34804484018,-100697.48437993403
2025-06-30 19:07:49.899,150633.1715898544,,1647337.2623624632,776458.858765595,1275778.1170846592,198880.76427235096,-100697.4045731831
2025-06-30 19:07:54.899,254862.72129286279,3001026.9832343315,1440315.0472404966,3238269.6032823883,1275778.1069126292,198882.18038493022,-100697.32477229094
2025-06-30 19:07:59.899,14300327.103770187,2176845.566578995,92435262.51935348,12322028.525105072,1275778.0967398873,198883.59660921263,-100697.2449644322
2025-06-30 19:08:04.899,85777277.22768787,22007184.22548979,566029167.066094,63661215.7733268,1275778.0865676287,198885.01277521817,-100697.16515919723
2025-06-30 19:08:09.899,323196902.88574684,124764217.50664087,1840754681.4441712,396329020.15303516,1275778.0763953794,198886.4289396361,-100697.08535337157
2025-06-30 19:08:14.899,250894626.73349673,135964400.37439185,1406673757.9093428,293622426.29990673,1275778.0662231268,198887.8451307335,-100697.00554546429
2025-06-30 19:08:19.899,47932875.49982915,21645670.629638262,281854329.72290266,61230365.90728888,1275778.0560511188,198889.26129191933,-100696.92573853105
2025-06-30 19:08:24.899,13549120.412781239,,97178984.35542072,10464114.51761756,1275778.045879267,198890.67745149462,-100696.84593103861
2025-06-30 19:08:29.899,3435927.3225345965,2924401.3720577336,16966028.957740456,7608063.864540622,1275778.0357074887,198892.0936094576,-100696.76612302533
2025-06-30 19:08:34.899,1073070.3303486314,1476123.2598467842,9169147.87116013,2048176.2583657855,1275778.025535338,198893.50982247407,-100696.6863112076
2025-06-30 19:08:39.899,3431720.8877953803,1737774.7525219272,28730705.417529125,,1275778.0153637838,198894.925977215,-100696.6065020542
2025-06-30 19:08:44.899,15310136.762813976,1501081.951547511,124270187.95985614,,1275778.0051922558,198896.34213035824,-100696.5266923423
